Sr. No.,match,team,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
553,England Vs Netherlands,Netherlands,Paul van Meekeren,10.0,0,57,1,5.7,28,5,0,5,0,ODI # 4697
554,England Vs Netherlands,Netherlands,Bas de Leede,10.0,0,74,3,7.4,26,5,4,0,0,ODI # 4697
555,England Vs Netherlands,Netherlands,Roelof van der Merwe,3.0,0,22,0,7.33,6,0,2,0,0,ODI # 4697
556,England Vs Netherlands,Netherlands,Colin Ackermann,7.0,0,31,0,4.42,15,1,0,0,0,ODI # 4697
557,England Vs Netherlands,England,Chris Woakes,7.0,0,19,1,2.71,33,2,0,2,0,ODI # 4697
558,England Vs Netherlands,England,David Willey,7.0,2,19,2,2.71,33,3,0,0,0,ODI # 4697
559,England Vs Netherlands,England,Gus Atkinson,7.0,0,41,0,5.85,25,4,2,1,0,ODI # 4697
560,England Vs Netherlands,England,Moeen Ali,8.2,0,42,3,5.04,23,1,2,0,0,ODI # 4697
561,England Vs Netherlands,England,Adil Rashid,8.0,0,54,3,6.75,22,5,2,1,0,ODI # 4697
562,Afghanistan Vs Australia,Australia,Mitchell Starc,9.0,0,70,1,7.77,26,4,4,5,0,ODI # 4696
563,Afghanistan Vs Australia,Australia,Josh Hazlewood,9.0,0,39,2,4.33,30,2,1,1,0,ODI # 4696
564,Afghanistan Vs Australia,Australia,Glenn Maxwell,10.0,0,55,1,5.5,24,2,1,0,1,ODI # 4696
565,Afghanistan Vs Australia,Australia,Pat Cummins,8.0,0,47,0,5.87,25,5,1,1,0,ODI # 4696
566,Afghanistan Vs Australia,Australia,Adam Zampa,10.0,0,58,1,5.8,22,2,2,2,0,ODI # 4696
567,Afghanistan Vs Australia,Australia,Travis Head,3.0,0,15,0,5.0,7,1,0,0,0,ODI # 4696
568,Afghanistan Vs Australia,Australia,Marcus Stoinis,1.0,0,2,0,2.0,4,0,0,0,0,ODI # 4696
569,Afghanistan Vs Australia,Afghanistan,Mujeeb Ur Rahman,8.5,1,72,0,8.15,28,8,4,0,0,ODI # 4696
570,Afghanistan Vs Australia,Afghanistan,Naveen-ul-Haq,9.0,0,47,2,5.22,34,5,2,1,0,ODI # 4696
571,Afghanistan Vs Australia,Afghanistan,Azmatullah Omarzai,7.0,1,52,2,7.42,25,7,2,1,0,ODI # 4696
572,Afghanistan Vs Australia,Afghanistan,Rashid Khan,10.0,0,44,2,4.4,36,3,1,3,0,ODI # 4696
573,Afghanistan Vs Australia,Afghanistan,Noor Ahmad,10.0,1,53,0,5.3,36,4,2,1,0,ODI # 4696
574,Afghanistan Vs Australia,Afghanistan,Mohammad Nabi,2.0,0,20,0,10.0,6,3,1,0,0,ODI # 4696
