,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Mujeeb Ur Rahman,10,0,40,1,4.00,40,4,0,3,0
1, Vs ,,Fazalhaq Farooqi,5,0,36,0,7.20,20,8,0,2,0
2, Vs ,,Azmatullah Omarzai,3,0,11,0,3.66,10,1,0,0,0
3, Vs ,,Mohammad Nabi,9.3,1,28,3,2.94,39,3,0,1,0
4, Vs ,,Rashid Khan,10,0,31,0,3.10,35,0,0,3,0
5, Vs ,,Noor Ahmad,9,0,31,2,3.44,36,3,0,3,0
6, Vs ,,Aryan Dutt,8.3,0,49,0,5.76,25,6,0,3,0
7, Vs ,,Logan van Beek,7,0,30,1,4.28,26,3,0,2,0
8, Vs ,,Paul van Meekeren,5,0,35,0,7.00,15,6,0,1,1
9, Vs ,,Roelof van der Merwe,5,0,27,1,5.40,11,2,0,0,0
10, Vs ,,Saqib Zulfiqar,3,0,25,1,8.33,8,4,0,0,1
11, Vs ,,Colin Ackermann,3,0,12,0,4.00,8,0,0,1,0
