,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Shaheen Shah Afridi,10,1,54,5,5.40,39,4,3,3,0
1, Vs ,,Hasan Ali,8,0,57,0,7.12,26,4,3,3,0
2, Vs ,,Iftikhar Ahmed,8,0,37,0,4.62,30,4,1,2,0
3, Vs ,,Haris Rauf,8,0,83,3,10.37,18,8,5,3,0
4, Vs ,,Usama Mir,9,0,82,1,9.11,19,6,5,2,0
5, Vs ,,Mohammad Nawaz,7,0,43,0,6.14,20,3,2,0,0
6, Vs ,,Mitchell Starc,8,0,65,1,8.12,22,10,0,6,0
7, Vs ,,Josh Hazlewood,10,1,37,1,3.70,40,5,0,1,0
8, Vs ,,Pat Cummins,7.3,0,62,2,8.26,22,6,4,0,0
9, Vs ,,Adam Zampa,10,0,53,4,5.30,25,3,1,1,0
10, Vs ,,Glenn Maxwell,5,0,40,0,8.00,10,6,0,0,0
11, Vs ,,Marcus Stoinis,5,0,40,2,8.00,10,4,1,3,0
