,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Lungi Ngidi,9,1,57,2,6.33,31,5,1,6,1
1, Vs ,,Marco Jansen,8,1,27,2,3.37,36,3,0,6,0
2, Vs ,,Kagiso Rabada,9,1,56,2,6.22,30,5,2,3,0
3, Vs ,,Gerald Coetzee,8,0,57,1,7.12,25,5,3,2,0
4, Vs ,,Keshav Maharaj,9,0,38,1,4.22,34,5,0,0,0
5, Vs ,,Aryan Dutt,5,1,19,0,3.80,21,3,0,0,0
6, Vs ,,Logan van Beek,8.5,0,60,3,6.79,30,7,2,1,1
7, Vs ,,Colin Ackermann,3,0,16,1,5.33,13,2,1,0,0
8, Vs ,,Paul van Meekeren,9,0,40,2,4.44,33,4,1,0,0
9, Vs ,,Roelof van der Merwe,9,0,34,2,3.77,29,1,1,0,0
10, Vs ,,Bas de Leede,8,0,36,2,4.50,28,3,0,4,0
