,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Trent Boult,10,1,48,1,4.80,34,3,2,1,0
1, Vs ,,Matt Henry,10,1,48,3,4.80,31,6,0,0,0
2, Vs ,,Mitchell Santner,10,0,37,2,3.70,26,0,0,1,0
3, Vs ,,James Neesham,7,0,56,0,8.00,15,5,2,2,0
4, Vs ,,Rachin Ravindra,10,0,76,1,7.60,14,6,2,0,0
5, Vs ,,Glenn Phillips,3,0,17,2,5.66,5,1,0,0,0
6, Vs ,,Chris Woakes,6,0,45,0,7.50,18,7,1,0,0
7, Vs ,,Sam Curran,6,2,47,1,7.83,17,6,1,2,0
8, Vs ,,Mark Wood,5,0,55,0,11.00,9,7,2,1,0
9, Vs ,,Moeen Ali,9.2,0,60,0,6.42,20,2,3,0,0
10, Vs ,,Adil Rashid,7,0,47,0,6.71,15,4,1,0,0
11, Vs ,,Liam Livingstone,3,0,24,0,8.00,7,4,0,0,0
