,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,David Willey,10,2,45,3,4.50,39,4,2,0,0
1, Vs ,,Chris Woakes,9,1,33,2,3.66,36,3,0,1,0
2, Vs ,,Adil Rashid,10,0,35,2,3.50,35,3,0,0,0
3, Vs ,,Mark Wood,9,1,46,1,5.11,32,3,2,2,0
4, Vs ,,Liam Livingstone,4,1,29,0,7.25,13,5,0,0,0
5, Vs ,,Moeen Ali,8,0,37,0,4.62,19,2,0,0,0
6, Vs ,,Jasprit Bumrah,6.5,1,32,3,4.68,31,3,2,2,0
7, Vs ,,Mohammed Siraj,6,0,33,0,5.50,22,3,1,2,0
8, Vs ,,Mohammed Shami,7,2,22,4,3.14,33,3,0,2,0
9, Vs ,,Kuldeep Yadav,8,0,24,2,3.00,28,1,0,0,0
10, Vs ,,Ravindra Jadeja,7,1,16,1,2.28,27,0,0,0,0
