,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Mitchell Starc,10,1,34,3,3.40,46,3,1,4,0
1, Vs ,,Josh Hazlewood,8,3,12,2,1.50,39,1,0,0,0
2, Vs ,,Pat Cummins,9.4,0,51,3,5.27,32,5,1,2,0
3, Vs ,,Adam Zampa,7,0,55,0,7.85,21,1,6,0,0
4, Vs ,,Glenn Maxwell,10,0,35,0,3.50,35,3,0,0,0
5, Vs ,,Travis Head,5,0,21,2,4.20,19,3,0,1,0
6, Vs ,,Marco Jansen,4.2,0,35,0,8.07,18,6,1,4,0
7, Vs ,,Kagiso Rabada,6,0,41,1,6.83,24,2,4,1,1
8, Vs ,,Aiden Markram,8,1,23,1,2.87,34,1,1,1,0
9, Vs ,,Gerald Coetzee,9,0,47,2,5.22,35,8,0,1,1
10, Vs ,,Tabraiz Shamsi,10,0,42,2,4.20,36,3,0,5,0
11, Vs ,,Keshav Maharaj,10,0,24,1,2.40,39,1,0,0,0
