,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Naveen-ul-Haq,7,0,52,2,7.42,22,4,3,3,0
1, Vs ,,Mujeeb Ur Rahman,8,0,55,0,6.87,20,5,2,0,0
2, Vs ,,Mohammad Nabi,10,0,31,1,3.10,37,2,0,0,0
3, Vs ,,Azmatullah Omarzai,5,0,50,1,10.00,9,4,2,3,0
4, Vs ,,Rashid Khan,10,0,41,0,4.10,30,1,1,0,0
5, Vs ,,Noor Ahmad,10,0,49,3,4.90,27,1,1,4,1
6, Vs ,,Shaheen Shah Afridi,10,0,58,1,5.80,27,5,0,2,0
7, Vs ,,Hasan Ali,10,1,44,1,4.40,42,4,2,1,0
8, Vs ,,Haris Rauf,8,1,53,0,6.62,19,6,0,3,0
9, Vs ,,Usama Mir,8,0,55,0,6.87,19,6,0,2,1
10, Vs ,,Shadab Khan,8,0,49,0,6.12,22,6,0,0,0
11, Vs ,,Iftikhar Ahmed,5,0,27,0,5.40,15,1,1,0,0
