,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Matt Henry,6.2,0,67,1,10.57,21,8,4,2,2
1, Vs ,,Trent Boult,10,0,77,3,7.70,25,7,3,3,0
2, Vs ,,Lockie Ferguson,3,0,38,0,12.66,6,3,3,0,0
3, Vs ,,Mitchell Santner,10,0,80,2,8.00,23,6,4,1,0
4, Vs ,,Glenn Phillips,10,0,37,3,3.70,30,2,0,0,0
5, Vs ,,Rachin Ravindra,8,0,56,0,7.00,18,5,2,0,0
6, Vs ,,James Neesham,2,0,32,1,16.00,4,1,4,0,0
7, Vs ,,Mitchell Starc,9,0,89,0,9.88,21,6,3,9,0
8, Vs ,,Josh Hazlewood,9,0,70,2,7.77,24,9,2,1,0
9, Vs ,,Pat Cummins,10,0,66,2,6.60,26,7,1,3,0
10, Vs ,,Glenn Maxwell,10,0,62,1,6.20,22,4,2,0,0
11, Vs ,,Adam Zampa,10,0,74,3,7.40,22,6,3,0,0
12, Vs ,,Mitchell Marsh,2,0,18,0,9.00,3,1,1,1,0
