,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Trent Boult,10,1,49,1,4.90,35,5,1,2,0
1, Vs ,,Matt Henry,5.3,0,31,0,5.63,20,4,1,1,0
2, Vs ,,Tim Southee,10,0,77,2,7.70,19,6,3,1,0
3, Vs ,,Mitchell Santner,10,0,58,0,5.80,18,2,1,2,0
4, Vs ,,Glenn Phillips,7,0,52,0,7.42,15,2,3,2,0
5, Vs ,,Rachin Ravindra,2,0,17,0,8.50,6,2,1,0,0
6, Vs ,,James Neesham,5.3,0,69,1,12.54,7,5,5,0,0
7, Vs ,,Marco Jansen,8,1,31,3,3.87,29,3,0,1,1
8, Vs ,,Lungi Ngidi,6,1,28,0,4.66,23,4,0,0,0
9, Vs ,,Kagiso Rabada,6,2,16,1,2.66,27,2,0,0,0
10, Vs ,,Gerald Coetzee,6.3,0,41,2,6.30,24,5,1,1,0
11, Vs ,,Keshav Maharaj,9,0,46,4,5.11,32,3,3,0,0
