,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Mitchell Starc,9,0,70,1,7.77,26,4,4,5,0
1, Vs ,,Josh Hazlewood,9,0,39,2,4.33,30,2,1,1,0
2, Vs ,,Glenn Maxwell,10,0,55,1,5.50,24,2,1,0,1
3, Vs ,,Pat Cummins,8,0,47,0,5.87,25,5,1,1,0
4, Vs ,,Adam Zampa,10,0,58,1,5.80,22,2,2,2,0
5, Vs ,,Travis Head,3,0,15,0,5.00,7,1,0,0,0
6, Vs ,,Marcus Stoinis,1,0,2,0,2.00,4,0,0,0,0
7, Vs ,,Mujeeb Ur Rahman,8.5,1,72,0,8.15,28,8,4,0,0
8, Vs ,,Naveen-ul-Haq,9,0,47,2,5.22,34,5,2,1,0
9, Vs ,,Azmatullah Omarzai,7,1,52,2,7.42,25,7,2,1,0
10, Vs ,,Rashid Khan,10,0,44,2,4.40,36,3,1,3,0
11, Vs ,,Noor Ahmad,10,1,53,0,5.30,36,4,2,1,0
12, Vs ,,Mohammad Nabi,2,0,20,0,10.00,6,3,1,0,0
