,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Jasprit Bumrah,10,0,39,4,3.90,41,5,0,3,0
1, Vs ,,Mohammed Siraj,9,0,76,0,8.44,23,12,1,1,0
2, Vs ,,Hardik Pandya,7,0,43,2,6.14,23,5,1,2,0
3, Vs ,,Shardul Thakur,6,0,31,1,5.16,21,2,1,1,1
4, Vs ,,Kuldeep Yadav,10,0,40,1,4.00,35,0,3,0,0
5, Vs ,,Ravindra Jadeja,8,0,38,0,4.75,22,1,1,0,1
6, Vs ,,Fazalhaq Farooqi,6,0,50,0,8.33,17,6,2,1,0
7, Vs ,,Mujeeb Ur Rahman,8,0,64,0,8.00,18,6,1,3,0
8, Vs ,,Naveen-ul-Haq,5,0,31,0,6.20,16,4,1,0,0
9, Vs ,,Azmatullah Omarzai,4,0,34,0,8.50,12,5,1,1,0
10, Vs ,,Mohammad Nabi,4,0,32,0,8.00,11,3,2,0,0
11, Vs ,,Rashid Khan,8,0,57,2,7.12,12,4,1,1,0
