,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Shoriful Islam,9.3,0,51,2,5.36,33,7,0,1,0
1, Vs ,,Taskin Ahmed,10,1,39,0,3.90,39,5,0,1,0
2, Vs ,,Tanzim Hasan Sakib,10,0,80,3,8.00,27,8,4,2,0
3, Vs ,,Shakib Al Hasan,10,0,57,2,5.70,23,1,3,0,0
4, Vs ,,Mehidy Hasan Miraz,10,0,49,1,4.90,30,6,0,0,0
5, Vs ,,Dilshan Madushanka,10,1,69,3,6.90,35,7,3,4,0
6, Vs ,,Maheesh Theekshana,9,0,44,2,4.88,34,6,0,3,0
7, Vs ,,Kasun Rajitha,4,0,47,0,11.75,7,5,3,0,0
8, Vs ,,Dushmantha Chameera,8,0,54,0,6.75,25,8,1,2,0
9, Vs ,,Angelo Mathews,7.1,1,35,2,4.88,24,4,0,1,0
10, Vs ,,Dhananjaya de Silva,3,0,20,0,6.66,8,3,0,0,0
