,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Mitchell Starc,10,0,43,2,4.30,37,5,0,4,0
1, Vs ,,Josh Hazlewood,7,1,36,0,5.14,28,6,0,1,0
2, Vs ,,Pat Cummins,7,0,32,2,4.57,24,4,0,1,0
3, Vs ,,Glenn Maxwell,9.3,0,36,1,3.78,30,2,0,1,0
4, Vs ,,Adam Zampa,8,1,47,4,5.87,26,5,1,2,0
5, Vs ,,Marcus Stoinis,2,0,11,0,5.50,5,1,0,0,0
6, Vs ,,Lahiru Kumara,4,0,47,0,11.75,8,5,2,0,0
7, Vs ,,Dilshan Madushanka,9,2,38,3,4.22,34,5,0,1,0
8, Vs ,,Maheesh Theekshana,7,0,49,0,7.00,19,5,2,0,0
9, Vs ,,Dunith Wellalage,9.2,0,53,1,5.67,29,6,1,0,0
10, Vs ,,Chamika Karunaratne,3,0,15,0,5.00,9,1,0,2,0
11, Vs ,,Dhananjaya de Silva,3,0,13,0,4.33,8,0,0,0,0
