,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Aryan Dutt,10,0,67,2,6.70,30,5,3,1,1
1, Vs ,,Logan van Beek,10,0,88,2,8.80,25,10,1,10,0
2, Vs ,,Paul van Meekeren,10,0,57,1,5.70,28,5,0,5,0
3, Vs ,,Bas de Leede,10,0,74,3,7.40,26,5,4,0,0
4, Vs ,,Roelof van der Merwe,3,0,22,0,7.33,6,0,2,0,0
5, Vs ,,Colin Ackermann,7,0,31,0,4.42,15,1,0,0,0
6, Vs ,,Chris Woakes,7,0,19,1,2.71,33,2,0,2,0
7, Vs ,,David Willey,7,2,19,2,2.71,33,3,0,0,0
8, Vs ,,Gus Atkinson,7,0,41,0,5.85,25,4,2,1,0
9, Vs ,,Moeen Ali,8.2,0,42,3,5.04,23,1,2,0,0
10, Vs ,,Adil Rashid,8,0,54,3,6.75,22,5,2,1,0
