,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Shoriful Islam,10,0,51,2,5.10,38,5,1,3,0
1, Vs ,,Taskin Ahmed,9,1,43,2,4.77,32,6,0,1,0
2, Vs ,,Shakib Al Hasan,10,1,37,1,3.70,35,4,0,0,0
3, Vs ,,Mehidy Hasan Miraz,4,0,17,0,4.25,10,1,0,0,0
4, Vs ,,Mustafizur Rahman,10,1,36,2,3.60,36,3,0,1,0
5, Vs ,,Mahedi Hasan,7,0,40,2,5.71,23,3,1,1,0
6, Vs ,,Aryan Dutt,10,3,26,1,2.60,48,3,1,0,0
7, Vs ,,Logan van Beek,9,1,30,1,3.33,39,3,0,4,0
8, Vs ,,Colin Ackermann,7,1,25,1,3.57,29,2,1,0,0
9, Vs ,,Paul van Meekeren,7.2,0,23,4,3.13,30,2,0,2,0
10, Vs ,,Bas de Leede,7,0,25,2,3.57,30,4,0,0,0
11, Vs ,,Shariz Ahmad,2,0,13,0,6.50,5,2,0,0,0
