,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Jasprit Bumrah,10,1,45,1,4.50,34,5,0,0,0
1, Vs ,,Mohammed Siraj,10,1,45,1,4.50,34,3,1,4,0
2, Vs ,,Mohammed Shami,10,0,54,5,5.40,32,6,1,0,0
3, Vs ,,Ravindra Jadeja,10,0,48,0,4.80,28,2,1,0,0
4, Vs ,,Kuldeep Yadav,10,0,73,2,7.30,25,3,4,3,0
5, Vs ,,Trent Boult,10,0,60,1,6.00,33,6,2,1,0
6, Vs ,,Matt Henry,9,0,55,1,6.11,31,7,2,0,0
7, Vs ,,Mitchell Santner,10,0,37,1,3.70,32,1,1,0,0
8, Vs ,,Lockie Ferguson,8,0,63,2,7.87,22,11,0,2,0
9, Vs ,,Rachin Ravindra,9,0,46,0,5.11,28,3,2,1,0
10, Vs ,,Glenn Phillips,2,0,12,0,6.00,3,1,0,0,0
