,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Trent Boult,10,0,86,1,8.60,26,9,4,2,0
1, Vs ,,Tim Southee,10,0,100,3,10.00,20,8,6,1,0
2, Vs ,,Mitchell Santner,10,1,51,0,5.10,29,3,2,0,0
3, Vs ,,Lockie Ferguson,8,0,65,0,8.12,15,7,1,1,0
4, Vs ,,Rachin Ravindra,7,0,60,0,8.57,13,2,4,2,0
5, Vs ,,Glenn Phillips,5,0,33,0,6.60,11,1,2,0,0
6, Vs ,,Jasprit Bumrah,10,1,64,1,6.40,32,6,1,6,0
7, Vs ,,Mohammed Siraj,9,0,78,1,8.66,26,10,3,3,0
8, Vs ,,Mohammed Shami,9.5,0,57,7,5.79,37,3,4,2,0
9, Vs ,,Ravindra Jadeja,10,0,63,0,6.30,29,3,3,0,1
10, Vs ,,Kuldeep Yadav,10,0,56,1,5.60,26,6,0,0,0
