,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Dilshan Madushanka,10,0,80,5,8.00,25,8,2,6,0
1, Vs ,,Dushmantha Chameera,10,2,71,1,7.10,28,8,2,0,0
2, Vs ,,Kasun Rajitha,9,0,65,0,7.22,25,7,2,1,0
3, Vs ,,Angelo Mathews,3,0,11,0,3.66,10,1,0,0,0
4, Vs ,,Maheesh Theekshana,10,0,67,0,6.70,18,5,1,1,0
5, Vs ,,Dushan Hemantha,8,0,52,0,6.50,17,2,2,0,1
6, Vs ,,Jasprit Bumrah,5,1,8,1,1.60,26,0,0,3,0
7, Vs ,,Mohammed Siraj,7,2,16,3,2.28,35,2,0,1,0
8, Vs ,,Mohammed Shami,5,1,18,5,3.60,22,3,0,0,0
9, Vs ,,Kuldeep Yadav,2,0,3,0,1.50,9,0,0,0,0
10, Vs ,,Ravindra Jadeja,0.4,0,4,1,6.00,3,1,0,0,0
