,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Mujeeb Ur Rahman,10,0,57,1,5.70,32,4,2,1,0
1, Vs ,,Fazalhaq Farooqi,7,1,39,0,5.57,23,2,2,2,0
2, Vs ,,Naveen-ul-Haq,8,0,48,2,6.00,17,4,0,0,0
3, Vs ,,Mohammad Nabi,8,1,41,0,5.12,30,1,4,0,0
4, Vs ,,Rashid Khan,10,0,43,1,4.30,35,4,0,2,0
5, Vs ,,Azmatullah Omarzai,7,0,56,2,8.00,17,4,3,0,1
6, Vs ,,Trent Boult,7,1,18,2,2.57,32,1,0,2,0
7, Vs ,,Matt Henry,5,2,16,1,3.20,22,1,1,0,0
8, Vs ,,Mitchell Santner,7.4,0,39,3,5.08,24,3,1,1,0
9, Vs ,,Lockie Ferguson,7,1,19,3,2.71,32,2,0,1,0
10, Vs ,,Glenn Phillips,3,0,13,0,4.33,7,0,0,1,0
11, Vs ,,Rachin Ravindra,5,0,34,1,6.80,11,4,0,0,0
