,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Reece Topley,8.5,0,88,3,9.96,23,10,4,4,0
1, Vs ,,David Willey,9,1,61,0,6.77,27,6,2,3,1
2, Vs ,,Joe Root,6.1,0,48,0,7.78,6,2,2,0,0
3, Vs ,,Gus Atkinson,9,0,60,2,6.66,27,6,2,1,0
4, Vs ,,Mark Wood,7,0,76,0,10.85,9,10,2,1,0
5, Vs ,,Adil Rashid,10,0,61,2,6.10,20,4,1,0,0
6, Vs ,,Lungi Ngidi,5,1,26,2,5.20,23,2,2,3,0
7, Vs ,,Marco Jansen,5,0,35,2,7.00,19,4,2,1,0
8, Vs ,,Kagiso Rabada,6,1,38,1,6.33,24,6,1,0,1
9, Vs ,,Gerald Coetzee,4,0,35,3,8.75,13,5,1,1,0
10, Vs ,,Keshav Maharaj,2,0,27,1,13.50,4,1,3,0,0
