,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Shaheen Shah Afridi,10,0,90,0,9.00,24,11,2,5,0
1, Vs ,,Hasan Ali,10,0,82,1,8.20,26,10,2,2,1
2, Vs ,,Iftikhar Ahmed,8,0,55,1,6.87,20,8,0,0,0
3, Vs ,,Haris Rauf,10,0,85,1,8.50,24,11,2,2,0
4, Vs ,,Mohammad Wasim,10,0,60,3,6.00,28,4,1,3,0
5, Vs ,,Agha Salman,2,0,21,0,10.50,3,2,1,1,0
6, Vs ,,Trent Boult,6,0,50,0,8.33,20,7,2,2,0
7, Vs ,,Tim Southee,5,0,27,1,5.40,17,1,2,0,0
8, Vs ,,Mitchell Santner,5,0,35,0,7.00,13,1,3,0,0
9, Vs ,,Glenn Phillips,5,1,42,0,8.40,13,3,3,0,0
10, Vs ,,Ish Sodhi,4,0,44,0,11.00,6,3,3,1,0
11, Vs ,,Daryl Mitchell,0.3,0,1,0,2.00,2,0,0,0,0
