,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,David Willey,10,1,48,1,4.80,31,4,0,1,0
1, Vs ,,Chris Woakes,9.3,0,54,4,5.68,31,5,1,0,0
2, Vs ,,Mark Wood,10,0,70,2,7.00,27,9,0,3,0
3, Vs ,,Liam Livingstone,6,0,42,1,7.00,10,2,1,0,0
4, Vs ,,Moeen Ali,4,0,28,0,7.00,9,4,0,0,0
5, Vs ,,Adil Rashid,10,0,38,2,3.80,34,1,1,0,0
6, Vs ,,Mitchell Starc,10,0,66,2,6.60,29,7,1,4,0
7, Vs ,,Josh Hazlewood,9.1,1,49,2,5.34,34,6,1,2,0
8, Vs ,,Pat Cummins,10,1,49,2,4.90,32,5,1,0,0
9, Vs ,,Adam Zampa,10,0,21,3,2.10,41,0,0,2,0
10, Vs ,,Travis Head,5,0,28,0,5.60,12,0,2,0,0
11, Vs ,,Marcus Stoinis,4,0,34,1,8.50,8,4,1,0,0
