,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Jasprit Bumrah,10,1,41,2,4.10,39,2,2,1,0
1, Vs ,,Mohammed Siraj,10,0,60,2,6.00,34,8,1,3,0
2, Vs ,,Hardik Pandya,0.3,0,8,0,16.00,1,2,0,0,0
3, Vs ,,Virat Kohli,0.3,0,2,0,4.00,1,0,0,0,0
4, Vs ,,Shardul Thakur,9,0,59,1,6.55,23,3,3,0,0
5, Vs ,,Kuldeep Yadav,10,0,47,1,4.70,25,1,1,1,0
6, Vs ,,Ravindra Jadeja,10,0,38,2,3.80,36,2,1,0,0
7, Vs ,,Shoriful Islam,8,0,54,0,6.75,25,6,2,0,0
8, Vs ,,Mustafizur Rahman,5,0,29,0,5.80,17,5,0,0,0
9, Vs ,,Nasum Ahmed,9.3,0,60,0,6.31,30,4,4,0,0
10, Vs ,,Hasan Mahmud,8,0,65,1,8.12,22,5,3,1,2
11, Vs ,,Mehidy Hasan Miraz,10,0,47,2,4.70,24,3,0,1,0
12, Vs ,,Mahmudullah,1,0,6,0,6.00,0,0,0,0,0
