,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Kagiso Rabada,10,0,40,0,4.00,37,4,1,0,0
1, Vs ,,Lungi Ngidi,8.3,0,69,2,8.11,28,5,4,6,0
2, Vs ,,Aiden Markram,4.3,0,25,0,5.55,13,2,1,0,0
3, Vs ,,Gerald Coetzee,10,1,44,4,4.40,35,5,0,2,0
4, Vs ,,Keshav Maharaj,10,1,25,2,2.50,41,0,0,2,0
5, Vs ,,Andile Phehlukwayo,7,0,36,1,5.14,20,4,0,0,0
6, Vs ,,Mujeeb Ur Rahman,10,0,51,1,5.10,33,4,2,1,0
7, Vs ,,Naveen-ul-Haq,6.3,0,52,0,8.00,16,2,4,1,0
8, Vs ,,Mohammad Nabi,10,1,35,2,3.50,36,3,0,0,0
9, Vs ,,Azmatullah Omarzai,1,0,8,0,8.00,3,0,1,0,0
10, Vs ,,Rashid Khan,10,1,37,2,3.70,38,2,1,1,0
11, Vs ,,Noor Ahmad,9,0,49,0,5.44,23,3,0,3,0
12, Vs ,,Rahmat Shah,1,0,12,0,12.00,2,1,1,0,0
