,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Marco Jansen,9,1,43,3,4.77,40,5,0,6,2
1, Vs ,,Lungi Ngidi,7.4,0,45,1,5.86,26,6,0,3,0
2, Vs ,,Aiden Markram,4,0,20,0,5.00,12,2,0,0,0
3, Vs ,,Keshav Maharaj,9,0,56,0,6.22,30,4,4,0,0
4, Vs ,,Gerald Coetzee,7,0,42,2,6.00,20,4,1,1,0
5, Vs ,,Tabraiz Shamsi,10,0,60,4,6.00,28,2,3,1,2
6, Vs ,,Iftikhar Ahmed,3,0,23,0,7.66,9,1,1,1,0
7, Vs ,,Shaheen Shah Afridi,10,0,45,3,4.50,37,5,0,3,0
8, Vs ,,Mohammad Nawaz,6.2,0,40,0,6.31,15,4,1,0,0
9, Vs ,,Haris Rauf,10,0,62,2,6.20,29,3,3,2,0
10, Vs ,,Mohammad Wasim,10,1,50,2,5.00,37,7,0,3,0
11, Vs ,,Usama Mir,8,0,45,2,5.62,25,1,3,1,0
