,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Mujeeb Ur Rahman,10,0,38,2,3.80,29,2,0,0,0
1, Vs ,,Fazalhaq Farooqi,10,1,34,4,3.40,42,3,1,0,0
2, Vs ,,Naveen-ul-Haq,6.3,0,47,0,7.23,16,5,1,2,0
3, Vs ,,Azmatullah Omarzai,7,0,37,1,5.28,22,5,0,1,0
4, Vs ,,Rashid Khan,10,0,50,1,5.00,27,3,0,2,0
5, Vs ,,Mohammad Nabi,6,0,33,0,5.50,11,1,0,0,0
6, Vs ,,Dilshan Madushanka,9,0,48,2,5.33,28,4,1,3,0
7, Vs ,,Kasun Rajitha,10,0,48,1,4.80,37,4,1,2,0
8, Vs ,,Angelo Mathews,3,0,18,0,6.00,8,2,0,0,0
9, Vs ,,Dushmantha Chameera,9.2,0,51,0,5.46,29,4,2,0,0
10, Vs ,,Maheesh Theekshana,10,0,55,0,5.50,25,3,1,3,0
11, Vs ,,Dhananjaya de Silva,4,0,21,0,5.25,9,2,0,0,0
