,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Trent Boult,10,3,37,3,3.70,45,6,0,3,0
1, Vs ,,Tim Southee,8,0,52,1,6.50,29,6,3,0,0
2, Vs ,,Lockie Ferguson,10,2,35,2,3.50,43,6,0,0,0
3, Vs ,,Mitchell Santner,10,2,22,2,2.20,45,2,0,0,0
4, Vs ,,Rachin Ravindra,7.4,0,21,2,2.73,28,1,0,0,0
5, Vs ,,Glenn Phillips,1,0,3,0,3.00,3,0,0,0,0
6, Vs ,,Dilshan Madushanka,6.2,0,58,0,9.15,16,11,0,1,0
7, Vs ,,Maheesh Theekshana,7,0,43,1,6.14,24,6,1,0,0
8, Vs ,,Dhananjaya de Silva,2,0,22,0,11.00,3,1,2,0,0
9, Vs ,,Dushmantha Chameera,4,1,20,1,5.00,17,1,2,0,0
10, Vs ,,Angelo Mathews,4,0,29,2,7.25,10,4,0,1,0
