,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Mitchell Starc,9,1,53,2,5.88,29,3,3,1,0
1, Vs ,,Josh Hazlewood,9,0,60,1,6.66,30,7,2,3,0
2, Vs ,,Glenn Maxwell,10,1,34,2,3.40,32,0,0,2,0
3, Vs ,,Pat Cummins,9,0,71,1,7.88,19,6,3,0,0
4, Vs ,,Adam Zampa,10,0,70,1,7.00,20,9,0,1,0
5, Vs ,,Mitchell Marsh,1,0,6,0,6.00,1,0,0,0,0
6, Vs ,,Marcus Stoinis,2,0,11,0,5.50,5,1,0,0,0
7, Vs ,,Lungi Ngidi,8,2,18,1,2.25,35,0,0,1,0
8, Vs ,,Marco Jansen,7,0,54,2,7.71,24,8,0,3,1
9, Vs ,,Kagiso Rabada,8,1,33,3,4.12,35,5,0,1,1
10, Vs ,,Keshav Maharaj,10,0,30,2,3.00,40,2,0,2,0
11, Vs ,,Tabraiz Shamsi,7.5,0,38,2,4.85,24,4,0,0,0
