,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Chris Woakes,4,0,41,0,10.25,13,4,2,2,0
1, Vs ,,Reece Topley,8.5,1,52,1,5.88,30,5,1,3,1
2, Vs ,,Sam Curran,4,0,46,0,11.50,9,5,2,0,2
3, Vs ,,Adil Rashid,10,1,42,3,4.20,29,1,1,1,0
4, Vs ,,Mark Wood,9,0,50,2,5.55,27,5,1,0,0
5, Vs ,,Liam Livingstone,10,0,33,1,3.30,31,1,0,0,0
6, Vs ,,Joe Root,4,0,19,1,4.75,16,2,1,0,0
7, Vs ,,Mujeeb Ur Rahman,10,1,51,3,5.10,31,2,1,1,0
8, Vs ,,Fazalhaq Farooqi,7,0,50,1,7.14,23,9,0,2,0
9, Vs ,,Naveen-ul-Haq,6,1,44,1,7.33,17,8,0,0,1
10, Vs ,,Mohammad Nabi,6,0,16,2,2.66,23,0,0,1,0
11, Vs ,,Rashid Khan,9.3,1,37,3,3.89,30,3,0,0,0
12, Vs ,,Azmatullah Omarzai,2,0,13,0,6.50,5,2,0,0,0
