,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Josh Hazlewood,7,1,21,0,3.00,29,2,0,0,0
1, Vs ,,Pat Cummins,8,0,56,0,7.00,22,7,0,4,0
2, Vs ,,Sean Abbott,10,0,61,2,6.10,29,4,2,0,1
3, Vs ,,Mitchell Marsh,4,0,48,0,12.00,8,6,2,2,1
4, Vs ,,Adam Zampa,10,0,32,2,3.20,39,2,1,0,0
5, Vs ,,Travis Head,6,0,33,0,5.50,14,2,1,0,0
6, Vs ,,Marcus Stoinis,5,0,45,1,9.00,4,4,0,2,0
7, Vs ,,Taskin Ahmed,10,0,61,1,6.10,30,6,2,1,0
8, Vs ,,Mahedi Hasan,9,0,38,0,4.22,29,3,0,1,0
9, Vs ,,Nasum Ahmed,10,0,85,0,8.50,21,9,3,1,0
10, Vs ,,Mehidy Hasan Miraz,6,0,47,0,7.83,13,3,3,0,0
11, Vs ,,Mustafizur Rahman,9.4,1,76,1,7.86,20,8,2,1,0
