,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Dilshan Madushanka,5,0,37,0,7.40,18,7,0,0,0
1, Vs ,,Kasun Rajitha,7,0,36,2,5.14,25,5,0,1,0
2, Vs ,,Maheesh Theekshana,8.2,1,21,1,2.52,36,1,0,3,0
3, Vs ,,Angelo Mathews,5,1,14,2,2.80,17,0,0,0,0
4, Vs ,,Lahiru Kumara,7,0,35,3,5.00,25,4,1,0,0
5, Vs ,,Dhananjaya de Silva,1,0,10,0,10.00,2,2,0,0,0
6, Vs ,,Chris Woakes,6,0,30,0,5.00,21,4,0,2,0
7, Vs ,,David Willey,5,0,30,2,6.00,18,5,0,1,0
8, Vs ,,Adil Rashid,4.4,0,39,0,8.35,9,1,3,0,0
9, Vs ,,Mark Wood,4,0,23,0,5.75,12,3,0,0,0
10, Vs ,,Liam Livingstone,3,0,17,0,5.66,8,2,0,0,0
11, Vs ,,Moeen Ali,3,0,21,0,7.00,5,2,0,0,0
