,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Lungi Ngidi,8.2,0,63,1,7.56,29,8,3,2,0
1, Vs ,,Marco Jansen,9.4,0,94,1,9.72,28,15,1,7,1
2, Vs ,,Kagiso Rabada,10,1,48,1,4.80,33,6,0,0,0
3, Vs ,,Keshav Maharaj,10,0,30,1,3.00,32,0,0,1,0
4, Vs ,,Tabraiz Shamsi,10,0,72,1,7.20,22,5,1,7,1
5, Vs ,,Aiden Markram,2,0,17,0,8.50,4,1,1,1,0
6, Vs ,,Jasprit Bumrah,5,0,14,0,2.80,23,2,0,1,0
7, Vs ,,Mohammed Siraj,4,1,11,1,2.75,18,1,0,0,0
8, Vs ,,Ravindra Jadeja,9,1,33,5,3.66,37,5,0,0,0
9, Vs ,,Mohammed Shami,4,0,18,2,4.50,16,2,0,1,0
10, Vs ,,Kuldeep Yadav,5.1,1,7,2,1.35,24,0,0,0,0
