,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Trent Boult,10,0,45,2,4.50,37,5,1,2,0
1, Vs ,,Matt Henry,10,0,58,2,5.80,27,6,0,0,1
2, Vs ,,Lockie Ferguson,10,0,49,3,4.90,44,4,3,2,2
3, Vs ,,Mitchell Santner,10,1,31,1,3.10,36,2,0,0,0
4, Vs ,,Glenn Phillips,2,0,13,1,6.50,8,1,1,0,1
5, Vs ,,Rachin Ravindra,7,0,37,0,5.28,22,2,2,0,0
6, Vs ,,Daryl Mitchell,1,0,11,0,11.00,1,0,1,0,0
7, Vs ,,Mustafizur Rahman,8,0,36,1,4.50,26,3,0,3,0
8, Vs ,,Shoriful Islam,7.5,1,43,0,5.48,30,5,1,3,0
9, Vs ,,Taskin Ahmed,8,0,56,0,7.00,20,6,1,3,0
10, Vs ,,Shakib Al Hasan,10,0,54,1,5.40,30,2,3,0,0
11, Vs ,,Mehidy Hasan Miraz,9,0,58,0,6.44,17,4,1,1,0
