,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Jasprit Bumrah,7,1,19,2,2.71,33,3,0,1,0
1, Vs ,,Mohammed Siraj,8,0,50,2,6.25,22,7,0,0,0
2, Vs ,,Hardik Pandya,6,0,34,2,5.66,20,6,0,0,0
3, Vs ,,Kuldeep Yadav,10,0,35,2,3.50,38,4,0,0,0
4, Vs ,,Ravindra Jadeja,9.5,0,38,2,3.86,35,4,0,0,0
5, Vs ,,Shardul Thakur,2,0,12,0,6.00,6,2,0,0,0
6, Vs ,,Shaheen Shah Afridi,6,0,36,2,6.00,21,5,1,1,0
7, Vs ,,Hasan Ali,6,0,34,1,5.66,23,7,0,0,0
8, Vs ,,Mohammad Nawaz,8.3,0,47,0,5.52,23,3,2,0,0
9, Vs ,,Haris Rauf,6,0,43,0,7.16,14,1,3,0,0
10, Vs ,,Shadab Khan,4,0,31,0,7.75,10,2,2,0,0
