,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Shaheen Shah Afridi,9,1,23,3,2.55,40,2,0,2,0
1, Vs ,,Iftikhar Ahmed,10,0,44,1,4.40,32,5,0,0,0
2, Vs ,,Haris Rauf,8,0,36,2,4.50,28,3,0,2,0
3, Vs ,,Mohammad Wasim,8.1,1,31,3,3.79,31,4,0,0,0
4, Vs ,,Usama Mir,10,0,66,1,6.60,27,5,3,1,0
5, Vs ,,Taskin Ahmed,6,1,36,0,6.00,21,2,3,0,0
6, Vs ,,Shoriful Islam,4,1,25,0,6.25,16,3,1,1,0
7, Vs ,,Mehidy Hasan Miraz,9,0,60,3,6.66,25,3,4,0,0
8, Vs ,,Mustafizur Rahman,7,0,47,0,6.71,23,9,0,1,0
9, Vs ,,Shakib Al Hasan,5.3,0,30,0,5.45,13,1,1,0,0
10, Vs ,,Najmul Hossain Shanto,1,0,5,0,5.00,4,1,0,0,0
