,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Kasun Rajitha,10,1,90,1,9.00,24,8,5,2,0
1, Vs ,,Dilshan Madushanka,10,0,86,2,8.60,25,12,1,3,1
2, Vs ,,Dasun Shanaka,6,0,36,0,6.00,10,1,1,0,0
3, Vs ,,Dhananjaya de Silva,4,0,39,0,9.75,9,4,2,1,0
4, Vs ,,Matheesha Pathirana,10,0,95,1,9.50,22,10,2,5,0
5, Vs ,,Dunith Wellalage,10,0,81,1,8.10,27,10,3,2,0
6, Vs ,,Lungi Ngidi,8,1,49,1,6.12,30,3,4,2,0
7, Vs ,,Marco Jansen,10,0,92,2,9.20,31,10,6,3,0
8, Vs ,,Kagiso Rabada,7.5,0,50,2,6.38,22,3,2,2,1
9, Vs ,,Keshav Maharaj,10,0,62,2,6.20,33,6,2,2,0
10, Vs ,,Gerald Coetzee,9,0,68,3,7.55,26,7,3,1,0
