,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Jasprit Bumrah,10,0,35,2,3.50,41,1,1,4,0
1, Vs ,,Mohammed Siraj,6.3,1,26,1,4.00,26,3,0,2,0
2, Vs ,,Hardik Pandya,3,0,28,1,9.33,8,6,0,0,0
3, Vs ,,Ravichandran Ashwin,10,1,34,1,3.40,32,2,0,0,0
4, Vs ,,Kuldeep Yadav,10,0,42,2,4.20,31,2,1,0,0
5, Vs ,,Ravindra Jadeja,10,2,28,3,2.80,38,2,0,0,0
6, Vs ,,Mitchell Starc,8,0,31,1,3.87,28,2,0,3,0
7, Vs ,,Josh Hazlewood,9,1,38,3,4.22,33,3,1,1,0
8, Vs ,,Pat Cummins,6.2,0,33,0,5.21,19,2,1,1,1
9, Vs ,,Glenn Maxwell,8,0,33,0,4.12,24,1,1,0,0
10, Vs ,,Cameron Green,2,0,11,0,5.50,7,2,0,0,0
11, Vs ,,Adam Zampa,8,0,53,0,6.62,13,4,0,0,0
