,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Aryan Dutt,7,0,59,1,8.42,17,9,1,0,0
1, Vs ,,Colin Ackermann,4,0,19,0,4.75,10,0,1,0,0
2, Vs ,,Logan van Beek,10,0,74,4,7.40,31,7,3,5,0
3, Vs ,,Paul van Meekeren,10,0,64,0,6.40,29,7,1,3,0
4, Vs ,,Vikramjit Singh,4,0,27,0,6.75,13,3,1,1,0
5, Vs ,,Roelof van der Merwe,5,0,41,0,8.20,11,3,2,1,0
6, Vs ,,Bas de Leede,10,0,115,2,11.50,20,13,6,1,1
7, Vs ,,Mitchell Starc,4,0,22,1,5.50,19,5,0,2,0
8, Vs ,,Josh Hazlewood,6,0,27,1,4.50,25,4,0,2,0
9, Vs ,,Pat Cummins,4,0,14,1,3.50,16,2,0,0,0
10, Vs ,,Mitchell Marsh,4,0,19,2,4.75,15,2,0,3,0
11, Vs ,,Adam Zampa,3,0,8,4,2.66,10,0,0,0,0
