,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Dilshan Madushanka,9.4,1,49,4,5.06,33,4,0,3,1
1, Vs ,,Kasun Rajitha,9,0,50,4,5.55,32,5,0,6,0
2, Vs ,,Chamika Karunaratne,9,1,58,0,6.44,25,1,2,6,0
3, Vs ,,Maheesh Theekshana,10,0,44,1,4.40,28,0,0,2,0
4, Vs ,,Dushan Hemantha,8,0,42,0,5.25,23,3,1,0,0
5, Vs ,,Dhananjaya de Silva,4,0,13,0,3.25,16,0,0,3,0
6, Vs ,,Aryan Dutt,10,0,44,3,4.40,38,3,1,2,0
7, Vs ,,Logan van Beek,10,0,57,0,5.70,36,6,2,0,0
8, Vs ,,Paul van Meekeren,8,1,39,1,4.87,29,4,0,2,0
9, Vs ,,Bas de Leede,3,0,29,0,9.66,7,4,0,2,0
10, Vs ,,Roelof van der Merwe,9,0,42,0,4.66,25,3,0,1,0
11, Vs ,,Colin Ackermann,8.2,0,39,1,4.68,25,3,0,0,0
