,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Mustafizur Rahman,10,0,70,0,7.00,26,6,3,0,0
1, Vs ,,Taskin Ahmed,6,0,38,1,6.33,19,4,1,2,0
2, Vs ,,Shoriful Islam,10,0,75,3,7.50,25,11,0,1,0
3, Vs ,,Mahedi Hasan,8,0,71,4,8.87,17,10,1,0,0
4, Vs ,,Shakib Al Hasan,10,0,52,1,5.20,25,4,0,1,0
5, Vs ,,Mehidy Hasan Miraz,6,0,55,0,9.16,10,6,2,0,0
6, Vs ,,Chris Woakes,8,0,49,2,6.12,24,6,0,0,0
7, Vs ,,Reece Topley,10,1,43,4,4.30,35,3,1,0,0
8, Vs ,,Sam Curran,7.2,0,47,1,6.40,15,5,0,2,0
9, Vs ,,Mark Wood,10,0,29,1,2.90,38,2,0,1,0
10, Vs ,,Adil Rashid,10,0,42,1,4.20,31,1,1,0,0
11, Vs ,,Liam Livingstone,3,0,13,1,4.33,11,0,1,0,0
