,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Aryan Dutt,10,2,62,2,6.20,31,3,3,1,0
1, Vs ,,Ryan Klein,7,1,41,0,5.85,25,7,0,1,0
2, Vs ,,Paul van Meekeren,9,0,59,2,6.55,28,7,2,0,1
3, Vs ,,Roelof van der Merwe,9,0,56,2,6.22,20,5,1,0,0
4, Vs ,,Colin Ackermann,4,0,28,0,7.00,9,1,2,0,0
5, Vs ,,Bas de Leede,10,0,64,1,6.40,28,6,2,0,1
6, Vs ,,Vikramjit Singh,1,0,9,0,9.00,1,1,0,0,0
7, Vs ,,Trent Boult,8,0,34,0,4.25,29,3,0,1,0
8, Vs ,,Matt Henry,8.3,0,40,3,4.70,29,4,0,0,0
9, Vs ,,Mitchell Santner,10,0,59,5,5.90,30,4,2,0,0
10, Vs ,,Lockie Ferguson,8,0,32,0,4.00,31,5,0,0,0
11, Vs ,,Rachin Ravindra,10,0,46,1,4.60,30,3,1,0,1
12, Vs ,,Glenn Phillips,2,0,11,0,5.50,2,0,0,0,0
