,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Mitchell Starc,10,0,55,3,5.50,30,4,1,3,0
1, Vs ,,Josh Hazlewood,10,0,60,2,6.00,22,4,1,1,0
2, Vs ,,Glenn Maxwell,6,0,35,1,5.83,19,4,1,0,0
3, Vs ,,Pat Cummins,10,0,34,2,3.40,30,0,0,2,0
4, Vs ,,Adam Zampa,10,0,44,1,4.40,22,1,0,1,0
5, Vs ,,Mitchell Marsh,2,0,5,0,2.50,7,0,0,0,0
6, Vs ,,Travis Head,2,0,4,0,2.00,8,0,0,0,0
7, Vs ,,Jasprit Bumrah,9,2,43,2,4.77,37,8,0,0,0
8, Vs ,,Mohammed Shami,7,1,47,1,6.71,28,6,1,3,0
9, Vs ,,Ravindra Jadeja,10,0,43,0,4.30,29,1,1,1,0
10, Vs ,,Kuldeep Yadav,10,0,56,0,5.60,25,3,2,0,0
11, Vs ,,Mohammed Siraj,7,0,45,1,6.42,16,4,1,0,0
