,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Taskin Ahmed,6,0,32,1,5.33,23,3,1,1,0
1, Vs ,,Shoriful Islam,6.2,1,34,2,5.36,23,5,0,2,0
2, Vs ,,Mustafizur Rahman,7,1,28,1,4.00,26,2,1,0,0
3, Vs ,,Shakib Al Hasan,8,0,30,3,3.75,28,3,0,0,0
4, Vs ,,Mehidy Hasan Miraz,9,3,25,3,2.77,38,1,0,1,0
5, Vs ,,Mahmudullah,1,0,7,0,7.00,3,1,0,0,0
6, Vs ,,Fazalhaq Farooqi,5,0,19,1,3.80,22,2,0,2,0
7, Vs ,,Mujeeb Ur Rahman,7,0,30,0,4.28,26,3,1,0,0
8, Vs ,,Naveen-ul-Haq,5.4,0,31,1,5.47,14,2,0,1,1
9, Vs ,,Rashid Khan,9,0,48,0,5.33,24,5,0,0,0
10, Vs ,,Mohammad Nabi,6,1,18,0,3.00,20,0,0,1,0
11, Vs ,,Azmatullah Omarzai,2,0,9,1,4.50,7,1,0,0,0
