,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Aryan Dutt,10,0,48,1,4.80,37,7,0,2,0
1, Vs ,,Logan van Beek,6,0,30,1,5.00,20,4,0,1,0
2, Vs ,,Colin Ackermann,8,1,39,2,4.87,26,1,2,0,0
3, Vs ,,Paul van Meekeren,6,0,40,1,6.66,16,5,0,2,0
4, Vs ,,Bas de Leede,9,0,62,4,6.88,22,9,0,3,0
5, Vs ,,Roelof van der Merwe,6,0,36,0,6.00,14,2,1,0,1
6, Vs ,,Vikramjit Singh,2,0,16,0,8.00,5,3,0,0,0
7, Vs ,,Saqib Zulfiqar,2,0,15,0,7.50,3,2,0,0,0
8, Vs ,,Shaheen Shah Afridi,7,0,37,1,5.28,26,5,0,2,0
9, Vs ,,Hasan Ali,7,1,33,2,4.71,31,6,0,4,0
10, Vs ,,Haris Rauf,9,0,43,3,4.77,33,5,1,2,0
11, Vs ,,Iftikhar Ahmed,3,0,16,1,5.33,7,1,0,0,0
12, Vs ,,Mohammad Nawaz,7,0,31,1,4.42,23,2,1,0,0
13, Vs ,,Shadab Khan,8,0,45,1,5.62,23,1,2,1,0
