,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0, Vs ,,Mustafizur Rahman,9,0,76,0,8.44,15,7,2,2,0
1, Vs ,,Mehidy Hasan Miraz,9,0,44,1,4.88,29,3,1,2,0
2, Vs ,,Shoriful Islam,9,0,76,1,8.44,19,6,4,0,0
3, Vs ,,Shakib Al Hasan,9,0,69,1,7.66,24,5,4,1,0
4, Vs ,,Hasan Mahmud,6,0,67,2,11.16,12,3,6,1,0
5, Vs ,,Nasum Ahmed,5,0,27,0,5.40,11,1,1,0,0
6, Vs ,,Mahmudullah,3,0,20,0,6.66,7,1,1,1,0
7, Vs ,,Marco Jansen,8,0,39,2,4.87,34,5,0,5,0
8, Vs ,,Lizaad Williams,8.4,1,56,2,6.46,33,7,2,5,0
9, Vs ,,Gerald Coetzee,10,0,62,3,6.20,36,8,2,1,1
10, Vs ,,Kagiso Rabada,10,1,42,2,4.20,36,3,1,0,1
11, Vs ,,Keshav Maharaj,10,0,32,1,3.20,36,2,0,1,0
