,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
14, Vs ,,8,Keshav Maharaj, b Jadeja,7,11,1,0,63.63
15, Vs ,,9,Kagiso Rabada,c & b Jadeja,6,26,0,0,23.07
16, Vs ,,10,Lungi Ngidi, b Kuldeep Yadav,0,3,0,0,0.00
17, Vs ,,11,Tabraiz Shamsi,,4,4,1,0,100.00
,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Travis Head,c Root b Woakes,11,10,1,0,110.00
1, Vs ,,2,David Warner,c Willey b Woakes,15,16,1,1,93.75
2, Vs ,,3,Steven Smith,c Ali b Rashid,44,52,3,0,84.61
3, Vs ,,4,Marnus Labuschagne,lbw b Wood,71,83,7,0,85.54
4, Vs ,,5,Josh Inglisâ€ ,c Ali b Rashid,3,6,0,0,50.00
5, Vs ,,6,Cameron Green, b Willey,47,52,5,0,90.38
6, Vs ,,7,Marcus Stoinis,c Bairstow b Livingstone,35,32,3,2,109.37
7, Vs ,,8,Pat Cummins(c),c Malan b Wood,10,13,1,0,76.92
8, Vs ,,9,Mitchell Starc,c Ali b Woakes,10,13,0,0,76.92
9, Vs ,,10,Adam Zampa,c â€ Buttler b Woakes,29,19,4,0,152.63
10, Vs ,,11,Josh Hazlewood,,1,1,0,0,100.00
11, Vs ,,1,Jonny Bairstow,c â€ Inglis b Starc,0,1,0,0,0.00
12, Vs ,,2,Dawid Malan,c Head b Cummins,50,64,4,1,78.12
13, Vs ,,3,Joe Root,c â€ Inglis b Starc,13,17,2,0,76.47
14, Vs ,,4,Ben Stokes,c Stoinis b Zampa,64,90,2,3,71.11
15, Vs ,,5,Jos Buttler(c)â€ ,c Green b Zampa,1,7,0,0,14.28
16, Vs ,,6,Moeen Ali,c Warner b Zampa,42,43,6,0,97.67
17, Vs ,,7,Liam Livingstone,c sub (SA Abbott) b Cummins,2,5,0,0,40.00
18, Vs ,,8,Chris Woakes,c Labuschagne b Stoinis,32,33,4,1,96.96
19, Vs ,,9,David Willey,c Zampa b Hazlewood,15,14,3,0,107.14
20, Vs ,,10,Adil Rashid,c â€ Inglis b Hazlewood,20,15,1,1,133.33
21, Vs ,,11,Mark Wood,,0,0,0,0,-
,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Devon Conway,c â€ Mohammad Rizwan b Hasan Ali,35,39,6,0,89.74
1, Vs ,,2,Rachin Ravindra,c Saud Shakeel b Mohammad Wasim,108,94,15,1,114.89
2, Vs ,,3,Kane Williamson(c),c Fakhar Zaman b Iftikhar Ahmed,95,79,10,2,120.25
3, Vs ,,4,Daryl Mitchell, b Haris Rauf,29,18,4,1,161.11
4, Vs ,,5,Mark Chapman, b Mohammad Wasim,39,27,7,0,144.44
5, Vs ,,6,Glenn Phillips, b Mohammad Wasim,41,25,4,2,164.00
6, Vs ,,7,Mitchell Santner,,26,17,0,2,152.94
7, Vs ,,8,Tom Lathamâ€ ,,2,2,0,0,100.00
8, Vs ,,1,Abdullah Shafique,c Williamson b Southee,4,9,1,0,44.44
9, Vs ,,2,Fakhar Zaman,,126,81,8,11,155.55
10, Vs ,,3,Babar Azam(c),,66,63,6,2,104.76
,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Wesley Barresi,lbw b Mujeeb Ur Rahman,1,4,0,0,25.00
1, Vs ,,2,Max O'Dowd,run out (Azmatullah Omarzai),42,40,9,0,105.00
2, Vs ,,3,Colin Ackermann,run out (Rashid Khan/â€ Ikram Alikhil),29,35,4,0,82.85
3, Vs ,,4,Sybrand Engelbrecht,run out (Mohammad Nabi/â€ Ikram Alikhil),58,86,6,0,67.44
4, Vs ,,5,Scott Edwards(c)â€ ,run out (â€ Ikram Alikhil),0,1,0,0,0.00
5, Vs ,,6,Bas de Leede,c â€ Ikram Alikhil b Mohammad Nabi,3,6,0,0,50.00
6, Vs ,,7,Saqib Zulfiqar,c â€ Ikram Alikhil b Noor Ahmad,3,15,0,0,20.00
7, Vs ,,8,Logan van Beek,st â€ Ikram Alikhil b Mohammad Nabi,2,13,0,0,15.38
8, Vs ,,9,Roelof van der Merwe,c Ibrahim Zadran b Noor Ahmad,11,33,0,0,33.33
9, Vs ,,10,Aryan Dutt,,10,22,0,0,45.45
10, Vs ,,11,Paul van Meekeren,lbw b Mohammad Nabi,4,24,0,0,16.66
11, Vs ,,1,Rahmanullah Gurbaz,c â€ Edwards b van Beek,10,11,2,0,90.90
12, Vs ,,2,Ibrahim Zadran, b van der Merwe,20,34,2,0,58.82
13, Vs ,,3,Rahmat Shah,c & b Saqib Zulfiqar,52,54,8,0,96.29
14, Vs ,,4,Hashmatullah Shahidi(c),,56,64,6,0,87.50
15, Vs ,,5,Azmatullah Omarzai,,31,28,3,0,110.71
,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Rohit Sharma(c), b Madushanka,4,2,1,0,200.00
1, Vs ,,2,Shubman Gill,c â€ Mendis b Madushanka,92,92,11,2,100.00
2, Vs ,,3,Virat Kohli,c Nissanka b Madushanka,88,94,11,0,93.61
3, Vs ,,4,Shreyas Iyer,c Theekshana b Madushanka,82,56,3,6,146.42
4, Vs ,,5,KL Rahulâ€ ,c Hemantha b Chameera,21,19,2,0,110.52
5, Vs ,,6,Suryakumar Yadav,c â€ Mendis b Madushanka,12,9,2,0,133.33
6, Vs ,,7,Ravindra Jadeja,run out (Samarawickrama/â€ Mendis),35,24,1,1,145.83
7, Vs ,,8,Mohammed Shami,run out (â€ Mendis),2,4,0,0,50.00
8, Vs ,,9,Jasprit Bumrah,,1,1,0,0,100.00
9, Vs ,,1,Pathum Nissanka,lbw b Bumrah,0,1,0,0,0.00
10, Vs ,,2,Dimuth Karunaratne,lbw b Mohammed Siraj,0,1,0,0,0.00
11, Vs ,,3,Kusal Mendis(c)â€ , b Mohammed Siraj,1,10,0,0,10.00
12, Vs ,,4,Sadeera Samarawickrama,c Iyer b Mohammed Siraj,0,4,0,0,0.00
13, Vs ,,5,Charith Asalanka,c Jadeja b Mohammed Shami,1,24,0,0,4.16
14, Vs ,,6,Angelo Mathews, b Mohammed Shami,12,25,1,0,48.00
15, Vs ,,7,Dushan Hemantha,c â€ Rahul b Mohammed Shami,0,1,0,0,0.00
16, Vs ,,8,Dushmantha Chameera,c â€ Rahul b Mohammed Shami,0,6,0,0,0.00
17, Vs ,,9,Maheesh Theekshana,,12,23,2,0,52.17
18, Vs ,,10,Kasun Rajitha,c Shubman Gill b Mohammed Shami,14,17,2,0,82.35
19, Vs ,,11,Dilshan Madushanka,c Iyer b Jadeja,5,6,1,0,83.33
,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Quinton de Kockâ€ ,c Phillips b Southee,114,116,10,3,98.27
1, Vs ,,2,Temba Bavuma(c),c Mitchell b Boult,24,28,4,1,85.71
2, Vs ,,3,Rassie van der Dussen, b Southee,133,118,9,5,112.71
3, Vs ,,4,David Miller,c Mitchell b Neesham,53,30,2,4,176.66
4, Vs ,,5,Heinrich Klaasen,,15,7,1,1,214.28
5, Vs ,,6,Aiden Markram,,6,1,0,1,600.00
6, Vs ,,1,Devon Conway,c Markram b Jansen,2,6,0,0,33.33
7, Vs ,,2,Will Young,c â€ de Kock b Coetzee,33,37,5,0,89.18
8, Vs ,,3,Rachin Ravindra,c Coetzee b Jansen,9,16,1,0,56.25
9, Vs ,,4,Daryl Mitchell,c Miller b Maharaj,24,30,4,0,80.00
10, Vs ,,5,Tom Latham(c)â€ ,c Maharaj b Rabada,4,15,0,0,26.66
11, Vs ,,6,Glenn Phillips,c Rabada b Coetzee,60,50,4,4,120.00
12, Vs ,,7,Mitchell Santner, b Maharaj,7,18,1,0,38.88
13, Vs ,,8,Tim Southee,lbw b Jansen,7,11,1,0,63.63
14, Vs ,,9,James Neesham, b Maharaj,0,8,0,0,0.00
15, Vs ,,10,Trent Boult,c Miller b Maharaj,9,14,1,0,64.28
16, Vs ,,11,Matt Henry,,0,9,0,0,0.00
,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Tanzid Hasan,lbw b Shaheen Shah Afridi,0,5,0,0,0.00
1, Vs ,,2,Litton Das,c Agha Salman b Iftikhar Ahmed,45,64,6,0,70.31
2, Vs ,,3,Najmul Hossain Shanto,c Usama Mir b Shaheen Shah Afridi,4,3,1,0,133.33
3, Vs ,,4,Mushfiqur Rahimâ€ ,c â€ Mohammad Rizwan b Haris Rauf,5,8,1,0,62.50
4, Vs ,,5,Mahmudullah, b Shaheen Shah Afridi,56,70,6,1,80.00
5, Vs ,,6,Shakib Al Hasan(c),c Agha Salman b Haris Rauf,43,64,4,0,67.18
6, Vs ,,7,Towhid Hridoy,c Iftikhar Ahmed b Usama Mir,7,3,0,1,233.33
7, Vs ,,8,Mehidy Hasan Miraz, b Mohammad Wasim,25,30,1,1,83.33
8, Vs ,,9,Taskin Ahmed, b Mohammad Wasim,6,13,0,0,46.15
