,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Devon Conway,c de Leede b van der Merwe,32,40,5,1,80.00
1, Vs ,,2,Will Young,c de Leede b van Meekeren,70,80,7,2,87.50
2, Vs ,,3,Rachin Ravindra,c â€ Edwards b van der Merwe,51,51,3,1,100.00
3, Vs ,,4,Daryl Mitchell, b van Meekeren,48,47,5,2,102.12
4, Vs ,,5,Tom Latham(c)â€ ,st â€ Edwards b Dutt,53,46,6,1,115.21
5, Vs ,,6,Glenn Phillips,c â€ Edwards b de Leede,4,4,1,0,100.00
6, Vs ,,7,Mark Chapman,c van der Merwe b Dutt,5,13,0,0,38.46
7, Vs ,,8,Mitchell Santner,,36,17,3,2,211.76
8, Vs ,,9,Matt Henry,,10,4,0,1,250.00
9, Vs ,,1,Vikramjit Singh, b Henry,12,20,1,0,60.00
10, Vs ,,2,Max O'Dowd,lbw b Santner,16,31,2,0,51.61
11, Vs ,,3,Colin Ackermann,c Henry b Santner,69,73,5,0,94.52
12, Vs ,,4,Bas de Leede,c Boult b Ravindra,18,25,3,0,72.00
13, Vs ,,5,Teja Nidamanuru,run out (Ferguson/â€ Latham),21,26,2,1,80.76
14, Vs ,,6,Scott Edwards(c)â€ ,c & b Santner,30,27,2,1,111.11
15, Vs ,,7,Sybrand Engelbrecht,c Conway b Henry,29,34,3,0,85.29
16, Vs ,,8,Roelof van der Merwe,c Henry b Santner,1,6,0,0,16.66
17, Vs ,,9,Ryan Klein,lbw b Santner,8,15,0,0,53.33
18, Vs ,,10,Aryan Dutt, b Henry,11,20,0,1,55.00
19, Vs ,,11,Paul van Meekeren,,4,3,1,0,133.33
