,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Rahmanullah Gurbazâ€ ,c Tanzid Hasan b Mustafizur Rahman,47,62,4,1,75.80
1, Vs ,,2,Ibrahim Zadran,c Tanzid Hasan b Shakib Al Hasan,22,25,3,1,88.00
2, Vs ,,3,Rahmat Shah,c Litton Das b Shakib Al Hasan,18,25,1,0,72.00
3, Vs ,,4,Hashmatullah Shahidi(c),c Towhid Hridoy b Mehidy Hasan Miraz,18,38,2,0,47.36
4, Vs ,,5,Najibullah Zadran, b Shakib Al Hasan,5,13,0,0,38.46
5, Vs ,,6,Mohammad Nabi, b Taskin Ahmed,6,12,0,0,50.00
6, Vs ,,7,Azmatullah Omarzai, b Shoriful Islam,22,20,4,0,110.00
7, Vs ,,8,Rashid Khan, b Mehidy Hasan Miraz,9,16,1,0,56.25
8, Vs ,,9,Mujeeb Ur Rahman, b Mehidy Hasan Miraz,1,4,0,0,25.00
9, Vs ,,10,Naveen-ul-Haq,c Towhid Hridoy b Shoriful Islam,0,6,0,0,0.00
10, Vs ,,11,Fazalhaq Farooqi,,0,3,0,0,0.00
11, Vs ,,1,Tanzid Hasan,run out (Najibullah Zadran),5,13,1,0,38.46
12, Vs ,,2,Litton Das, b Fazalhaq Farooqi,13,18,2,0,72.22
13, Vs ,,3,Mehidy Hasan Miraz,c Rahmat Shah b Naveen-ul-Haq,57,73,5,0,78.08
14, Vs ,,4,Najmul Hossain Shanto,,59,83,3,1,71.08
15, Vs ,,5,Shakib Al Hasan(c),c Fazalhaq Farooqi b Azmatullah Omarzai,14,19,2,0,73.68
16, Vs ,,6,Mushfiqur Rahimâ€ ,,2,3,0,0,66.66
