,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Pathum Nissanka,c â€ Latham b Southee,2,8,0,0,25.00
1, Vs ,,2,Kusal Perera,c Santner b Ferguson,51,28,9,2,182.14
2, Vs ,,3,Kusal Mendis(c)â€ ,c Ravindra b Boult,6,7,1,0,85.71
3, Vs ,,4,Sadeera Samarawickrama,c Mitchell b Boult,1,2,0,0,50.00
4, Vs ,,5,Charith Asalanka,lbw b Boult,8,8,1,0,100.00
5, Vs ,,6,Angelo Mathews,c Mitchell b Santner,16,27,2,0,59.25
6, Vs ,,7,Dhananjaya de Silva,c Mitchell b Santner,19,24,2,1,79.16
7, Vs ,,8,Chamika Karunaratne,c â€ Latham b Ferguson,6,17,1,0,35.29
8, Vs ,,9,Maheesh Theekshana,,38,91,3,0,41.75
9, Vs ,,10,Dushmantha Chameera,c Boult b Ravindra,1,20,0,0,5.00
10, Vs ,,11,Dilshan Madushanka,c â€ Latham b Ravindra,19,48,2,0,39.58
11, Vs ,,1,Devon Conway,c de Silva b Chameera,45,42,9,0,107.14
12, Vs ,,2,Rachin Ravindra,c de Silva b Theekshana,42,34,3,3,123.52
13, Vs ,,3,Kane Williamson(c), b Mathews,14,15,2,0,93.33
14, Vs ,,4,Daryl Mitchell,c Asalanka b Mathews,43,31,5,2,138.70
15, Vs ,,5,Mark Chapman,run out (Samarawickrama/Mathews),7,6,1,0,116.66
16, Vs ,,6,Glenn Phillips,,17,10,3,0,170.00
17, Vs ,,7,Tom Lathamâ€ ,,2,2,0,0,100.00
