,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Devon Conway,lbw b Mujeeb Ur Rahman,20,18,3,0,111.11
1, Vs ,,2,Will Young,c â€ Ikram Alikhil b Azmatullah Omarzai,54,64,4,3,84.37
2, Vs ,,3,Rachin Ravindra, b Azmatullah Omarzai,32,41,2,1,78.04
3, Vs ,,4,Daryl Mitchell,c Ibrahim Zadran b Rashid Khan,1,7,0,0,14.28
4, Vs ,,5,Tom Latham(c)â€ , b Naveen-ul-Haq,68,74,3,2,91.89
5, Vs ,,6,Glenn Phillips,c Rashid Khan b Naveen-ul-Haq,71,80,4,4,88.75
6, Vs ,,7,Mark Chapman,,25,12,2,1,208.33
7, Vs ,,8,Mitchell Santner,,7,5,1,0,140.00
8, Vs ,,1,Rahmanullah Gurbaz, b Henry,11,21,0,1,52.38
9, Vs ,,2,Ibrahim Zadran,c Santner b Boult,14,15,2,0,93.33
10, Vs ,,3,Rahmat Shah,c & b Ravindra,36,62,1,0,58.06
11, Vs ,,4,Hashmatullah Shahidi(c),c Santner b Ferguson,8,29,1,0,27.58
12, Vs ,,5,Azmatullah Omarzai,c â€ Latham b Boult,27,32,2,0,84.37
13, Vs ,,6,Ikram Alikhilâ€ ,,19,21,3,0,90.47
14, Vs ,,7,Mohammad Nabi, b Santner,7,9,1,0,77.77
15, Vs ,,8,Rashid Khan,c Mitchell b Ferguson,8,13,0,1,61.53
16, Vs ,,9,Mujeeb Ur Rahman,c Young b Ferguson,4,3,1,0,133.33
17, Vs ,,10,Naveen-ul-Haq,c Chapman b Santner,0,1,0,0,0.00
18, Vs ,,11,Fazalhaq Farooqi,c Mitchell b Santner,0,2,0,0,0.00
