,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Litton Das,c Henry b Boult,0,1,0,0,0.00
1, Vs ,,2,Tanzid Hasan,c Conway b Ferguson,16,17,4,0,94.11
2, Vs ,,3,Mehidy Hasan Miraz,c Henry b Ferguson,30,46,4,0,65.21
3, Vs ,,4,Najmul Hossain Shanto,c Conway b Phillips,7,8,1,0,87.50
4, Vs ,,5,Shakib Al Hasan(c),c â€ Latham b Ferguson,40,51,3,2,78.43
5, Vs ,,6,Mushfiqur Rahimâ€ , b Henry,66,75,6,2,88.00
6, Vs ,,7,Towhid Hridoy,c Santner b Boult,13,25,0,0,52.00
7, Vs ,,8,Mahmudullah,,41,49,2,2,83.67
8, Vs ,,9,Taskin Ahmed,c Mitchell b Santner,17,19,0,2,89.47
9, Vs ,,10,Mustafizur Rahman,c â€ Latham b Henry,4,10,0,0,40.00
10, Vs ,,11,Shoriful Islam,,2,3,0,0,66.66
11, Vs ,,1,Devon Conway,lbw b Shakib Al Hasan,45,59,3,0,76.27
12, Vs ,,2,Rachin Ravindra,c â€ Mushfiqur Rahim b Mustafizur Rahman,9,13,2,0,69.23
13, Vs ,,3,Kane Williamson(c),,78,107,8,1,72.89
14, Vs ,,4,Daryl Mitchell,,89,67,6,4,132.83
15, Vs ,,5,Glenn Phillips,,16,11,1,1,145.45
