,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Rohit Sharma(c),c Barresi b de Leede,61,54,8,2,112.96
1, Vs ,,2,Shubman Gill,c Nidamanuru b van Meekeren,51,32,3,4,159.37
2, Vs ,,3,Virat Kohli, b van der Merwe,51,56,5,1,91.07
3, Vs ,,4,Shreyas Iyer,,128,94,10,5,136.17
4, Vs ,,5,KL Rahulâ€ ,c Engelbrecht b de Leede,102,64,11,4,159.37
5, Vs ,,6,Suryakumar Yadav,,2,1,0,0,200.00
6, Vs ,,1,Wesley Barresi,c â€ Rahul b Mohammed Siraj,4,5,0,0,80.00
7, Vs ,,2,Max O'Dowd, b Jadeja,30,42,3,1,71.42
8, Vs ,,3,Colin Ackermann,lbw b Kuldeep Yadav,35,32,6,0,109.37
9, Vs ,,4,Sybrand Engelbrecht, b Mohammed Siraj,45,80,4,0,56.25
10, Vs ,,5,Scott Edwards(c)â€ ,c â€ Rahul b Kohli,17,30,1,0,56.66
11, Vs ,,6,Bas de Leede, b Bumrah,12,21,1,0,57.14
12, Vs ,,7,Teja Nidamanuru,c Mohammed Shami b Sharma,54,39,1,6,138.46
13, Vs ,,8,Logan van Beek, b Kuldeep Yadav,16,15,2,0,106.66
14, Vs ,,9,Roelof van der Merwe,c Mohammed Shami b Jadeja,16,8,1,2,200.00
15, Vs ,,10,Aryan Dutt, b Bumrah,5,11,0,0,45.45
16, Vs ,,11,Paul van Meekeren,,3,4,0,0,75.00
