,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Jonny Bairstow,c Mitchell b Santner,33,35,4,1,94.28
1, Vs ,,2,Dawid Malan,c â€ Latham b Henry,14,24,2,0,58.33
2, Vs ,,3,Joe Root, b Phillips,77,86,4,1,89.53
3, Vs ,,4,Harry Brook,c Conway b Ravindra,25,16,4,1,156.25
4, Vs ,,5,Moeen Ali, b Phillips,11,17,1,0,64.70
5, Vs ,,6,Jos Buttler(c)â€ ,c â€ Latham b Henry,43,42,2,2,102.38
6, Vs ,,7,Liam Livingstone,c Henry b Boult,20,22,3,0,90.90
7, Vs ,,8,Sam Curran,c â€ Latham b Henry,14,19,0,0,73.68
8, Vs ,,9,Chris Woakes,c Young b Santner,11,12,1,0,91.66
9, Vs ,,10,Adil Rashid,,15,13,0,1,115.38
10, Vs ,,11,Mark Wood,,13,14,0,0,92.85
11, Vs ,,1,Devon Conway,,152,121,19,3,125.61
12, Vs ,,2,Will Young,c â€ Buttler b Curran,0,1,0,0,0.00
13, Vs ,,3,Rachin Ravindra,,123,96,11,5,128.12
