,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Rahmanullah Gurbazâ€ ,c Thakur b Pandya,21,28,3,1,75.00
1, Vs ,,2,Ibrahim Zadran,c â€ Rahul b Bumrah,22,28,4,0,78.57
2, Vs ,,3,Rahmat Shah,lbw b Thakur,16,22,3,0,72.72
3, Vs ,,4,Hashmatullah Shahidi(c),lbw b Kuldeep Yadav,80,88,8,1,90.90
4, Vs ,,5,Azmatullah Omarzai, b Pandya,62,69,2,4,89.85
5, Vs ,,6,Mohammad Nabi,lbw b Bumrah,19,27,1,0,70.37
6, Vs ,,7,Najibullah Zadran,c Kohli b Bumrah,2,8,0,0,25.00
7, Vs ,,8,Rashid Khan,c Kuldeep Yadav b Bumrah,16,12,1,1,133.33
8, Vs ,,9,Mujeeb Ur Rahman,,10,12,2,0,83.33
9, Vs ,,10,Naveen-ul-Haq,,9,8,1,0,112.50
10, Vs ,,1,Rohit Sharma(c), b Rashid Khan,131,84,16,5,155.95
11, Vs ,,2,Ishan Kishan,c Ibrahim Zadran b Rashid Khan,47,47,5,2,100.00
12, Vs ,,3,Virat Kohli,,55,56,6,0,98.21
13, Vs ,,4,Shreyas Iyer,,25,23,1,1,108.69
