,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,David Warner,c & b Kuldeep Yadav,41,52,6,0,78.84
1, Vs ,,2,Mitchell Marsh,c Kohli b Bumrah,0,6,0,0,0.00
2, Vs ,,3,Steven Smith, b Jadeja,46,71,5,0,64.78
3, Vs ,,4,Marnus Labuschagne,c â€ Rahul b Jadeja,27,41,1,0,65.85
4, Vs ,,5,Glenn Maxwell, b Kuldeep Yadav,15,25,1,0,60.00
5, Vs ,,6,Alex Careyâ€ ,lbw b Jadeja,0,2,0,0,0.00
6, Vs ,,7,Cameron Green,c Pandya b Ashwin,8,20,0,0,40.00
7, Vs ,,8,Pat Cummins(c),c Iyer b Bumrah,15,24,1,1,62.50
8, Vs ,,9,Mitchell Starc,c Iyer b Mohammed Siraj,28,35,2,1,80.00
9, Vs ,,10,Adam Zampa,c Kohli b Pandya,6,20,0,0,30.00
10, Vs ,,11,Josh Hazlewood,,1,1,0,0,100.00
11, Vs ,,1,Rohit Sharma(c),lbw b Hazlewood,0,6,0,0,0.00
12, Vs ,,2,Ishan Kishan,c Green b Starc,0,1,0,0,0.00
13, Vs ,,3,Virat Kohli,c Labuschagne b Hazlewood,85,116,6,0,73.27
14, Vs ,,4,Shreyas Iyer,c Warner b Hazlewood,0,3,0,0,0.00
15, Vs ,,5,KL Rahulâ€ ,,97,115,8,2,84.34
16, Vs ,,6,Hardik Pandya,,11,8,0,1,137.50
