,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Vikramjit Singh,c Klaasen b Rabada,2,16,0,0,12.50
1, Vs ,,2,Max O'Dowd,c â€ de Kock b Jansen,18,25,4,0,72.00
2, Vs ,,3,Colin Ackermann, b Coetzee,12,25,1,0,48.00
3, Vs ,,4,Bas de Leede,lbw b Rabada,2,7,0,0,28.57
4, Vs ,,5,Sybrand Engelbrecht,c Jansen b Ngidi,19,37,1,1,51.35
5, Vs ,,6,Teja Nidamanuru,lbw b Jansen,20,25,3,0,80.00
6, Vs ,,7,Scott Edwards(c)â€ ,,78,69,10,1,113.04
7, Vs ,,8,Logan van Beek,st â€ de Kock b Maharaj,10,27,1,0,37.03
8, Vs ,,9,Roelof van der Merwe,c â€ de Kock b Ngidi,29,19,3,1,152.63
9, Vs ,,10,Aryan Dutt,,23,9,0,3,255.55
10, Vs ,,1,Temba Bavuma(c), b van der Merwe,16,31,2,1,51.61
11, Vs ,,2,Quinton de Kockâ€ ,c â€ Edwards b Ackermann,20,22,3,0,90.90
12, Vs ,,3,Rassie van der Dussen,c Dutt b van der Merwe,4,7,0,0,57.14
13, Vs ,,4,Aiden Markram, b van Meekeren,1,3,0,0,33.33
14, Vs ,,5,Heinrich Klaasen,c Vikramjit Singh b van Beek,28,28,4,0,100.00
15, Vs ,,6,David Miller, b van Beek,43,52,4,1,82.69
16, Vs ,,7,Marco Jansen, b van Meekeren,9,25,0,0,36.00
17, Vs ,,8,Gerald Coetzee,c â€ Edwards b de Leede,22,23,2,1,95.65
18, Vs ,,9,Keshav Maharaj,c â€ Edwards b van Beek,40,37,5,1,108.10
19, Vs ,,10,Kagiso Rabada,c Engelbrecht b de Leede,9,6,0,1,150.00
20, Vs ,,11,Lungi Ngidi,,7,24,0,0,29.16
