,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Jonny Bairstow,c van Meekeren b Dutt,15,17,2,0,88.23
1, Vs ,,2,Dawid Malan,run out (â€ Edwards/van Beek),87,74,10,2,117.56
2, Vs ,,3,Joe Root, b van Beek,28,35,1,0,80.00
3, Vs ,,4,Ben Stokes,c Engelbrecht b van Beek,108,84,6,6,128.57
4, Vs ,,5,Harry Brook,c Ackermann b de Leede,11,16,2,0,68.75
5, Vs ,,6,Jos Buttler(c)â€ ,c Nidamanuru b van Meekeren,5,11,0,0,45.45
6, Vs ,,7,Moeen Ali,c de Leede b Dutt,4,15,0,0,26.66
7, Vs ,,8,Chris Woakes,c â€ Edwards b de Leede,51,45,5,1,113.33
8, Vs ,,9,David Willey,c Engelbrecht b de Leede,6,2,0,1,300.00
9, Vs ,,10,Gus Atkinson,,2,1,0,0,200.00
10, Vs ,,11,Adil Rashid,,1,1,0,0,100.00
11, Vs ,,1,Wesley Barresi,run out (Woakes/Ali),37,62,3,1,59.67
12, Vs ,,2,Max O'Dowd,c Ali b Woakes,5,11,1,0,45.45
13, Vs ,,3,Colin Ackermann,c â€ Buttler b Willey,0,2,0,0,0.00
14, Vs ,,4,Sybrand Engelbrecht,c Woakes b Willey,33,49,3,1,67.34
15, Vs ,,5,Scott Edwards(c)â€ ,c Malan b Ali,38,42,3,1,90.47
16, Vs ,,6,Bas de Leede, b Rashid,10,12,2,0,83.33
17, Vs ,,7,Teja Nidamanuru,,41,34,2,3,120.58
18, Vs ,,8,Logan van Beek,c Malan b Rashid,2,2,0,0,100.00
19, Vs ,,9,Roelof van der Merwe,c Rashid b Ali,0,4,0,0,0.00
20, Vs ,,10,Aryan Dutt, b Rashid,1,3,0,0,33.33
21, Vs ,,11,Paul van Meekeren,st â€ Buttler b Ali,4,3,1,0,133.33
