,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Dawid Malan,c â€ Mohammad Rizwan b Iftikhar Ahmed,31,39,5,0,79.48
1, Vs ,,2,Jonny Bairstow,c Agha Salman b Haris Rauf,59,61,7,1,96.72
2, Vs ,,3,Joe Root,c Shadab Khan b Shaheen Shah Afridi,60,72,4,0,83.33
3, Vs ,,4,Ben Stokes, b Shaheen Shah Afridi,84,76,11,2,110.52
4, Vs ,,5,Jos Buttler(c)â€ ,run out (Haris Rauf),27,18,3,1,150.00
5, Vs ,,6,Harry Brook,c Shaheen Shah Afridi b Haris Rauf,30,17,2,2,176.47
6, Vs ,,7,Moeen Ali, b Haris Rauf,8,6,0,1,133.33
7, Vs ,,8,Chris Woakes,,4,4,1,0,100.00
8, Vs ,,9,David Willey,c Iftikhar Ahmed b Mohammad Wasim,15,5,2,1,300.00
9, Vs ,,10,Gus Atkinson, b Mohammad Wasim,0,1,0,0,0.00
10, Vs ,,11,Adil Rashid,,0,1,0,0,0.00
11, Vs ,,1,Abdullah Shafique,lbw b Willey,0,2,0,0,0.00
12, Vs ,,2,Fakhar Zaman,c Stokes b Willey,1,9,0,0,11.11
13, Vs ,,3,Babar Azam(c),c Rashid b Atkinson,38,45,6,0,84.44
14, Vs ,,4,Mohammad Rizwanâ€ , b Ali,36,51,2,0,70.58
15, Vs ,,5,Saud Shakeel, b Rashid,29,37,4,0,78.37
16, Vs ,,6,Agha Salman,c Stokes b Willey,51,45,6,1,113.33
17, Vs ,,7,Iftikhar Ahmed,c Malan b Ali,3,5,0,0,60.00
18, Vs ,,8,Shadab Khan, b Rashid,4,7,1,0,57.14
19, Vs ,,9,Shaheen Shah Afridi,lbw b Atkinson,25,23,3,1,108.69
20, Vs ,,10,Mohammad Wasim,,16,14,2,1,114.28
21, Vs ,,11,Haris Rauf,c Stokes b Woakes,35,23,3,3,152.17
