,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Mitchell Marsh,c Ackermann b van Beek,9,15,2,0,60.00
1, Vs ,,2,David Warner,c Dutt b van Beek,104,93,11,3,111.82
2, Vs ,,3,Steven Smith,c van der Merwe b Dutt,71,68,9,1,104.41
3, Vs ,,4,Marnus Labuschagne,c Dutt b de Leede,62,47,7,2,131.91
4, Vs ,,5,Josh Inglisâ€ ,c Engelbrecht b de Leede,14,12,1,1,116.66
5, Vs ,,6,Glenn Maxwell,c Engelbrecht b van Beek,106,44,9,8,240.90
6, Vs ,,7,Cameron Green,run out (Engelbrecht),8,11,1,0,72.72
7, Vs ,,8,Pat Cummins(c),,12,9,2,0,133.33
8, Vs ,,9,Mitchell Starc,c Ackermann b van Beek,0,1,0,0,0.00
9, Vs ,,10,Adam Zampa,,1,1,0,0,100.00
10, Vs ,,1,Vikramjit Singh,run out (Maxwell),25,25,6,0,100.00
11, Vs ,,2,Max O'Dowd, b Starc,6,9,1,0,66.66
12, Vs ,,3,Colin Ackermann,lbw b Hazlewood,10,11,2,0,90.90
13, Vs ,,4,Sybrand Engelbrecht,c Warner b Marsh,11,21,1,0,52.38
14, Vs ,,5,Bas de Leede,lbw b Cummins,4,7,1,0,57.14
15, Vs ,,6,Scott Edwards(c)â€ ,,12,22,0,0,54.54
16, Vs ,,7,Teja Nidamanuru,c â€ Inglis b Marsh,14,18,2,0,77.77
17, Vs ,,8,Logan van Beek,c â€ Inglis b Zampa,0,3,0,0,0.00
18, Vs ,,9,Roelof van der Merwe,lbw b Zampa,0,1,0,0,0.00
19, Vs ,,10,Aryan Dutt,lbw b Zampa,1,8,0,0,12.50
20, Vs ,,11,Paul van Meekeren,st â€ Inglis b Zampa,0,1,0,0,0.00
