,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Tanzid Hasan,c & b Abbott,36,34,6,0,105.88
1, Vs ,,2,Litton Das,c Labuschagne b Zampa,36,45,5,0,80.00
2, Vs ,,3,Najmul Hossain Shanto(c),run out (Labuschagne/â€ Inglis),45,57,6,0,78.94
3, Vs ,,4,Towhid Hridoy,c Labuschagne b Stoinis,74,79,5,2,93.67
4, Vs ,,5,Mahmudullah,run out (Labuschagne),32,28,1,3,114.28
5, Vs ,,6,Mushfiqur Rahimâ€ ,c Cummins b Zampa,21,24,0,1,87.50
6, Vs ,,7,Mehidy Hasan Miraz,c Cummins b Abbott,29,20,4,0,145.00
7, Vs ,,8,Nasum Ahmed,run out (Abbott),7,11,0,0,63.63
8, Vs ,,9,Mahedi Hasan,,2,3,0,0,66.66
9, Vs ,,10,Taskin Ahmed,,0,1,0,0,0.00
10, Vs ,,1,Travis Head, b Taskin Ahmed,10,11,2,0,90.90
11, Vs ,,2,David Warner,c Najmul Hossain Shanto b Mustafizur Rahman,53,61,6,0,86.88
12, Vs ,,3,Mitchell Marsh,,177,132,17,9,134.09
13, Vs ,,4,Steven Smith,,63,64,4,1,98.43
