,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Jonny Bairstow,c de Silva b Rajitha,30,31,3,0,96.77
1, Vs ,,2,Dawid Malan,c â€ Mendis b Mathews,28,25,6,0,112.00
2, Vs ,,3,Joe Root,run out (Mathews/â€ Mendis),3,10,0,0,30.00
3, Vs ,,4,Ben Stokes,c sub (MADI Hemantha) b Kumara,43,73,6,0,58.90
4, Vs ,,5,Jos Buttler(c)â€ ,c â€ Mendis b Kumara,8,6,1,0,133.33
5, Vs ,,6,Liam Livingstone,lbw b Kumara,1,6,0,0,16.66
6, Vs ,,7,Moeen Ali,c Perera b Mathews,15,15,1,0,100.00
7, Vs ,,8,Chris Woakes,c Samarawickrama b Rajitha,0,4,0,0,0.00
8, Vs ,,9,David Willey,,14,17,1,1,82.35
9, Vs ,,10,Adil Rashid,run out (â€ Mendis),2,7,0,0,28.57
10, Vs ,,11,Mark Wood,st â€ Mendis b Theekshana,5,6,1,0,83.33
11, Vs ,,1,Pathum Nissanka,,77,83,7,2,92.77
12, Vs ,,2,Kusal Perera,c Stokes b Willey,4,5,1,0,80.00
13, Vs ,,3,Kusal Mendis(c)â€ ,c â€ Buttler b Willey,11,12,2,0,91.66
14, Vs ,,4,Sadeera Samarawickrama,,65,54,7,1,120.37
