,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Tanzid Hasan,lbw b Kuldeep Yadav,51,43,5,3,118.60
1, Vs ,,2,Litton Das,c Shubman Gill b Jadeja,66,82,7,0,80.48
2, Vs ,,3,Najmul Hossain Shanto(c),lbw b Jadeja,8,17,0,0,47.05
3, Vs ,,4,Mehidy Hasan Miraz,c â€ Rahul b Mohammed Siraj,3,13,0,0,23.07
4, Vs ,,5,Towhid Hridoy,c Shubman Gill b Thakur,16,35,0,0,45.71
5, Vs ,,6,Mushfiqur Rahimâ€ ,c Jadeja b Bumrah,38,46,1,1,82.60
6, Vs ,,7,Mahmudullah, b Bumrah,46,36,3,3,127.77
7, Vs ,,8,Nasum Ahmed,c â€ Rahul b Mohammed Siraj,14,18,2,0,77.77
8, Vs ,,9,Mustafizur Rahman,,1,7,0,0,14.28
9, Vs ,,10,Shoriful Islam,,7,3,0,1,233.33
10, Vs ,,1,Rohit Sharma(c),c Towhid Hridoy b Hasan Mahmud,48,40,7,2,120.00
11, Vs ,,2,Shubman Gill,c Mahmudullah b Mehidy Hasan Miraz,53,55,5,2,96.36
12, Vs ,,3,Virat Kohli,,103,97,6,4,106.18
13, Vs ,,4,Shreyas Iyer,c Mahmudullah b Mehidy Hasan Miraz,19,25,2,0,76.00
14, Vs ,,5,KL Rahulâ€ ,,34,34,3,1,100.00
