,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0, Vs ,,1,Abdullah Shafique,lbw b Mohammed Siraj,20,24,3,0,83.33
1, Vs ,,2,Imam-ul-Haq,c â€ Rahul b Pandya,36,38,6,0,94.73
2, Vs ,,3,Babar Azam(c), b Mohammed Siraj,50,58,7,0,86.20
3, Vs ,,4,Mohammad Rizwanâ€ , b Bumrah,49,69,7,0,71.01
4, Vs ,,5,Saud Shakeel,lbw b Kuldeep Yadav,6,10,0,0,60.00
5, Vs ,,6,Iftikhar Ahmed, b Kuldeep Yadav,4,4,1,0,100.00
6, Vs ,,7,Shadab Khan, b Bumrah,2,5,0,0,40.00
7, Vs ,,8,Mohammad Nawaz,c Bumrah b Pandya,4,14,0,0,28.57
8, Vs ,,9,Hasan Ali,c Shubman Gill b Jadeja,12,19,2,0,63.15
9, Vs ,,10,Shaheen Shah Afridi,,2,10,0,0,20.00
10, Vs ,,11,Haris Rauf,lbw b Jadeja,2,6,0,0,33.33
11, Vs ,,1,Rohit Sharma(c),c Iftikhar Ahmed b Shaheen Shah Afridi,86,63,6,6,136.50
12, Vs ,,2,Shubman Gill,c Shadab Khan b Shaheen Shah Afridi,16,11,4,0,145.45
13, Vs ,,3,Virat Kohli,c Mohammad Nawaz b Hasan Ali,16,18,3,0,88.88
14, Vs ,,4,Shreyas Iyer,,53,62,3,2,85.48
15, Vs ,,5,KL Rahulâ€ ,,19,29,2,0,65.51
